gene_id,median_normal,median_tumor,shapiro_norm_pval,shapiro_tumor_pval,conj_shapiro,mannwhitney_pval,medians_equal_mw,wilcoxon_pval,medians_equal_wilcoxon,conj_tests
ENSG00000118976,0.1286,0.0121,2.709821146152092e-27,8.838445157081176e-40,False,1.5547383161147252e-79,False,,False,False
ENSG00000133519,3.7981,13.27,2.4129578626376207e-10,3.386676011174249e-14,False,9.245870321613807e-64,False,,False,False
ENSG00000174028,22.0275,2.028,4.047701305472023e-06,1.303897966041856e-33,False,1.0500713842473183e-94,False,,False,False
ENSG00000176243,0.0,0.0,2.0235748722084232e-19,7.095967699934788e-48,False,2.9758010257725325e-13,False,,False,False
ENSG00000177173,0.5256,0.1026,1.751378037852905e-27,1.338264511064862e-33,False,2.4054947346810026e-74,False,,False,False
ENSG00000178082,2.2744,0.1177,1.284587946441581e-16,1.399985678860453e-37,False,4.7544540082599665e-96,False,,False,False
ENSG00000179460,0.0694,0.0,2.4362833618005297e-16,1.7171568718845357e-56,False,1.874818749620383e-134,False,,False,False
ENSG00000180221,0.329,0.0,3.47598389816964e-23,3.381183476026918e-49,False,1.238107943148366e-125,False,,False,False
ENSG00000181227,1.9785,0.4118,2.1938957695228333e-16,2.8703737584911065e-25,False,5.594209416099358e-80,False,,False,False
ENSG00000182921,0.0774,0.0,1.8804478873246576e-16,2.44215221822828e-54,False,9.586054585596934e-73,False,,False,False
ENSG00000183022,1.9151,0.0,5.449131870099069e-18,3.8447188501418474e-40,False,3.894630342287378e-106,False,,False,False
ENSG00000183458,1.3175,7.682,2.9311690111157206e-14,1.2090588677634515e-32,False,3.509752635992101e-73,False,,False,False
ENSG00000183935,2.8887,1.836,1.8871403089476477e-07,7.323776691553106e-22,False,1.0573837495651684e-17,False,,False,False
ENSG00000186676,0.8104,0.0185,3.047212547905789e-12,3.665550983058638e-36,False,1.5219787729346975e-103,False,,False,False
ENSG00000187534,8.6415,0.5386,5.248787464085838e-20,9.041543635173203e-29,False,2.256173047486614e-97,False,,False,False
ENSG00000188451,0.2809,0.0223,2.8151906060084253e-26,1.1342653700814986e-40,False,8.635745162740072e-92,False,,False,False
ENSG00000189089,0.3504,0.0653,1.237402914137243e-25,7.715811454461185e-31,False,4.037725701372755e-54,False,,False,False
ENSG00000197258,5.5345,1.042,0.0015123178552418342,1.0697686161994158e-19,False,2.0100249613364464e-93,False,,False,False
ENSG00000197582,64.1422,5.13,6.754527498676442e-10,1.1578354847916215e-32,False,7.360513798422413e-80,False,,False,False
ENSG00000197927,1.5986,1.751,2.2671803122464913e-14,1.0210854815859345e-09,False,0.20254779311526683,True,,False,False
ENSG00000198134,13.7645,0.431,2.8745136687474805e-10,8.010319726853102e-29,False,2.250728966094676e-97,False,,False,False
